Generation,RedPheromoneIntensity,GreenPheromoneIntensity,TIMEOUT,PHEROMONE_EVAPORATION,Fitness Score
0,148.962,124.201,805.556,59.6357,2402
0,18.3036,254.616,3714.46,86.1241,253
0,102.681,188.236,8733.6,67.6899,415
0,26.8684,238.272,351.632,42.1602,0
0,89.8885,150.754,4167.11,57.7074,35
0,54.165,97.2031,6921.31,63.3164,42
0,16.2848,198.142,3810.1,27.7873,30
0,120.678,39.6779,1128.72,85.6271,8
0,57.1293,72.1833,8439.1,73.4137,743
0,46.2042,2.87791,6274.05,40.2114,36
0,165.799,57.0293,7480.83,67.4641,1329
0,98.0208,117.698,3447.56,97.6817,572
0,79.8503,78.3368,7632.85,33.2812,115
0,25.305,212.044,8319.73,22.055,40
0,126.9,220.563,8052.77,10.2855,35
0,3.98395,61.9426,9735.54,57.8493,23
0,36.9591,91.8849,1355.7,27.5704,20
0,4.49569,108.529,8140.84,55.3095,25
0,190.228,92.2355,2930.51,16.2271,1937
0,132.59,242.472,7720.07,25.1528,42
1,148.962,124.201,805.556,59.6357,2402
1,125.821,156.219,4769.58,60.5208,898
1,123.286,156.219,4769.58,59.8611,60
1,107.855,153.486,4011.6,58.0232,31
1,158.025,124.227,3914.41,38.374,1408
1,82.4922,112.835,6166.1,65.7184,179
1,76.7289,116.365,4473.2,60.9417,46
1,81.212,118.863,6468.52,65.7184,49
1,110.653,136.959,4117.46,78.7714,48
1,65.1586,132.374,6800.66,57.9151,118
1,130.976,112.305,4865.58,37.0711,46
1,80.8153,227.258,8019.9,27.6264,1909
1,80.8153,227.258,7933.9,24.0151,46
1,94.2222,144.296,6104.26,58.8881,394
1,112.599,128.301,5279.37,47.9796,41
1,114.889,175.311,4412.73,43.631,48
1,127.726,146.589,4443.52,69.3163,43
1,127.693,100.34,4865.58,37.0475,54
1,140.655,140.223,4341.99,45.9563,642
1,114.889,172.173,4412.73,43.631,42
2,107.095,157.866,4559.94,67.8945,3413
2,148.962,124.201,805.556,59.6357,2402
2,128.015,134.249,3454.91,59.2619,496
2,111.626,132.63,5051.58,63.3755,54
2,143.02,129.238,3405.7,48.8179,45
2,164.781,124.214,2359.98,49.0048,206
2,104.555,158.235,5258.49,49.1331,50
2,111.14,145.102,4208.27,71.0735,64
2,99.0992,131.58,6339.43,62.3033,63
2,96.2207,179.944,6535.74,43.0405,44
2,152.409,135.401,3401.75,54.5578,94
2,94.9595,196.16,7277.82,35.3334,69
2,143.367,123.636,4175.81,55.654,147
2,128.015,134.249,3454.91,57.6805,76
2,111.383,159.898,5908.64,48.6962,43
2,123.684,165.781,5237.41,44.9456,54
2,125.85,138.77,4346.16,56.6379,86
2,119.82,145.353,4253.25,61.3187,113
2,103.05,170.631,5743.05,55.737,3127
2,126.759,141.218,3032.02,52.8018,91
3,107.095,157.866,4559.94,67.8945,3413
3,113.557,127.644,5008.37,60.7826,53
3,110.859,168.689,5154.92,40.2285,45
3,126.939,154.319,4280.31,44.5232,218
3,110.859,168.727,5154.92,44.0676,888
3,114.904,164.101,4387.54,54.2694,57
3,111.069,133.207,4677.26,58.7102,218
3,113.776,140.751,4082.4,61.7743,50
3,120.922,159.21,3993.41,49.3963,43
3,126.304,139.994,3689.09,56.293,50
3,114.995,149.972,5011.68,50.1301,101
3,109.864,157.992,4998.15,58.5279,235
3,108.303,145.539,5375.71,58.2598,43
3,108.303,149.137,5199.4,61.0778,47
3,117.621,151.728,4739.85,50.7061,1136
3,122.19,146.473,3983.47,51.754,53
3,123.055,148.66,4532.4,56.4898,58
3,114.995,149.972,5011.68,51.0472,54
3,124.247,146.317,3836.28,54.0235,42
3,114.995,161.251,5011.68,50.1301,67
4,112.084,156.26,4772.15,54.1024,3787
4,116.525,157.581,4569.19,47.1387,511
4,117.073,154.655,4984.36,48.9224,210
4,116.957,168.786,4843.66,50.2787,56
4,111.045,159.558,5104.47,59.0123,46
4,111.069,141.546,4677.26,58.7102,3678
4,107.699,153.502,4646.37,64.4862,49
4,116.741,163.184,4216.51,48.7087,64
4,114.642,154.414,4271.71,57.3884,215
4,117.093,148.223,4402.44,50.942,178
4,117.083,161.372,4693.4,54.1398,48
4,114.4,157.724,4564.57,53.468,769
4,110.501,163.292,4607.78,55.6631,42
4,111.564,157.909,4938.31,52.7481,333
4,113.242,156.992,4625.53,53.7852,36
4,117.088,163.476,4547.92,52.5409,44
