Generation,RedPheromoneIntensity,GreenPheromoneIntensity,TIMEOUT,PHEROMONE_EVAPORATION,Fitness Score
0,171.789,17.8765,738.624,47.0373,25785
0,163.361,61.1568,2402.53,11.9885,5
0,59.6693,249.916,2622.64,4.85516,4374
0,252.284,173.854,1302.29,55.7873,1801
0,5.53771,237.068,1671.92,23.3149,2181
0,92.112,220.981,5592.56,9.22399,14
0,13.6827,195.988,2133.15,76.6565,38
0,46.0869,183.65,2436.55,42.6612,739
0,111.56,237.955,8868.3,78.3873,40
0,193.765,7.14273,1176.34,13.2426,59
0,72.1155,80.751,7792.11,64.0233,837
0,51.9227,38.096,286.413,94.4019,0
0,42.1822,201.786,7797.19,65.1901,166
0,41.7103,78.1945,8201.09,43.795,12582
0,99.3756,129.835,216.871,33.0371,0
0,214.122,174.342,8012.21,15.4981,162
0,19.4374,71.961,2650.68,94.7623,22951
0,66.8576,165.927,8317.25,53.9902,12372
0,142.429,57.3535,7461.23,39.5693,11275
0,8.53482,103.942,5683.27,76.9376,3942
1,171.789,17.8765,738.624,47.0373,25785
1,106.75,48.0355,4469.86,45.3066,67
1,71.1839,165.334,5207.38,34.4393,54
1,149.185,178.752,1450.28,49.2243,704
1,13.9861,88.1493,3696.42,85.85,4342
1,25.3585,152.864,6930,71.0638,686
1,43.1475,118.944,5483.97,75.1517,5977
1,44.6539,159.396,7623.63,62.527,233
1,74.466,124.911,5919.49,55.2483,608
1,31.2924,95.4526,4350.51,84.957,45
1,119.084,55.0701,4643.61,45.3066,20131
1,42.4289,98.5694,6842.53,62.8432,785
1,98.574,85.3702,4134.66,54.6495,5758
1,107.468,68.4104,2864.63,61.0945,1986
1,120.501,65.4762,5988.34,47.1094,11628
1,95.6134,38.8808,1659.9,70.8998,614
1,111.181,68.4104,3111.3,61.0945,4114
1,92.7881,88.1489,6472.6,57.1255,902
1,56.28,86.7598,3915.54,69.3758,16407
1,171.789,20.2659,738.624,47.0373,1375
2,171.789,17.8765,738.624,47.0373,25785
2,48.9086,142.139,5345.67,54.7955,38
2,107.468,69.6051,2726.42,61.0945,30
2,141.485,43.1435,1754.02,54.0659,12
2,109.468,68.4104,3111.3,61.0945,29
2,139.629,44.9355,1732.52,56.5636,10248
2,145.436,36.4733,2200.97,46.1719,22786
2,114.391,53.5128,2327.08,58.2066,15954
2,129.914,44.9931,2264.02,52.9486,1276
2,151.323,36.4733,2200.97,46.1719,4
2,152.073,30.5046,2691.12,46.1719,5
2,139.629,56.0186,1801.63,54.0659,14689
2,100.858,61.6165,3058.25,58.8865,30
2,136.627,49.2241,2029.8,57.3851,9
2,125.405,56.6729,1962.41,58.8291,235
2,155.709,31.406,1235.57,50.4348,24990
2,134.771,35.149,1998.27,57.5307,2511
2,85.3353,70.1363,3121.31,68.2609,12402
2,156.637,30.51,1246.32,49.4595,13154
2,147.669,43.7123,1518.6,49.1666,24744
3,171.789,17.8765,738.624,47.0373,25785
3,146.553,40.0928,2014.88,47.6693,14252
3,119.898,45.9948,2144.75,56.8322,385
3,119.898,52.6252,2144.75,56.8322,21522
3,132.517,67.7256,1882.02,56.4475,49
3,152.153,51.26,1310.32,51.7424,154
3,145.33,35.6947,1532.85,52.6219,23575
3,130.365,38.7004,1690.16,53.6335,23
3,120.244,58.8176,2078.11,56.4762,1613
3,105.37,63.4046,2541.86,60.236,4383
3,132.614,56.3253,1838.8,54.7271,54
3,145.133,56.0186,1801.63,54.0659,23237
3,150.984,44.3089,1389.59,51.0407,18696
3,137.804,42.0156,1314.56,53.6335,25
3,159.171,26.7025,1329.83,51.6332,23835
3,145.33,35.6947,1636.45,52.6219,23154
3,132.797,44.1599,1890.6,54.7271,16961
3,132.271,45.0535,1935.84,55.0563,175
3,132.614,32.2633,1890.6,54.7271,152
3,132.614,32.7824,1838.8,54.7271,79
4,171.789,17.8765,738.624,47.0373,25785
4,152.202,37.1009,1288.71,50.523,16879
4,138.972,34.2385,1355.4,53.6745,692
4,135.793,33.2063,1597.1,54.2008,26
4,127.639,45.0701,1809.52,54.2008,10
4,148.667,46.5598,1545.17,54.2981,8
4,132.688,63.5896,1939.87,55.271,11
4,152.239,40.7331,1648.53,53.9565,15
4,155.077,35.5057,1383.03,51.3369,21439
4,153.64,36.3033,1335.87,50.8558,419
4,142.151,34.9666,1678.06,53.1482,61
4,144.016,36.9697,1622.81,49.1678,17393
4,143.741,40.7331,1339.25,49.4967,847
4,142.5,40.6304,1589.65,52.4276,10229
4,154.78,38.1626,1613.05,51.7866,24198
4,149.547,36.2377,1590.86,50.2524,25
4,147.369,49.0126,1619.09,53.192,16
4,152.202,25.3295,1536.53,50.8822,16671
4,157.903,27.4231,1180.72,47.7187,20590
4,143.886,32.7928,1396.88,49.7527,15975
5,148.109,31.1496,1377.99,50.025,26037
5,147.277,30.4176,1459.78,51.1096,22178
5,157.765,29.3048,1491.27,47.4589,6939
5,151.028,39.1953,1536.42,51.4481,201
5,148.788,38.0681,1486.34,47.8394,1206
5,146.764,39.9129,1563.04,52.6641,585
5,159.533,24.1471,693.914,49.0734,20085
5,150.959,32.1964,1401.77,49.0886,21052
5,145.39,32.7638,1592.92,50.9159,25388
5,144.052,31.6988,1511.44,49.3608,9
5,143.951,29.2849,1509.85,49.4602,4778
