Generation,RedPheromoneIntensity,GreenPheromoneIntensity,TIMEOUT,PHEROMONE_EVAPORATION,CHANGE_TO_EXPLORER,CHANGE_TO_CARRIER,CHANGE_TO_NESTCARRIER,CHANGE_TO_FOLLOWGREEN,Fitness Score
0,127.411,51.6039,1344.81,87.2382,1.59312e+09,7.39825e+08,1.18707e+09,2.08432e+09,2899
0,43.8093,110.135,6363.58,1,1.56802e+09,8.69654e+08,1.80893e+09,1.67699e+09,703
0,37.9456,10.7972,9207.68,37.3406,1.51256e+09,1.79472e+09,1.86532e+09,4.75209e+08,74
0,208.666,69.7827,4428.26,47.7956,6.55865e+08,4.29064e+08,1.88818e+09,1.94349e+09,8
0,77.1208,169.894,5026.62,17.5937,2.87646e+08,8.99706e+08,1.35252e+09,3.98372e+07,10
0,32.0409,50.452,8585.2,57.9402,1.40107e+09,1.77165e+09,3.9838e+08,1.68724e+09,111
0,10.3895,29.1018,5644.58,2.68493,3.71619e+07,1.17577e+09,2.03239e+09,1.60919e+09,75
0,246.408,232.485,4635.52,6.56209,5.75799e+08,2.04502e+09,1.85617e+09,2.05724e+09,4
0,83.6418,80.4115,9933.18,49.2788,1.62217e+09,1.55846e+09,1.7597e+09,7.37975e+08,11
0,252.878,90.074,7953.73,57.3927,1.99007e+09,1.01694e+09,1.01008e+06,2.03217e+06,18
0,71.2976,117.596,4418.22,18.4074,1.33625e+09,1.53932e+09,4.1677e+08,7.39236e+08,6
0,100.301,156.268,43.2483,68.3348,6.63753e+08,1.2432e+09,7.81796e+08,8.6398e+08,0
0,207.125,164.717,348.655,2.10796,1.94916e+09,1.82861e+09,8.34287e+06,1.08907e+09,0
0,247.482,65.4548,1752.86,41.2471,2.92505e+08,1.60424e+09,1.95406e+09,2.11676e+09,313
0,244.938,34.4274,6896.16,88.535,1.59406e+09,1.40443e+09,2.13543e+09,1.06272e+09,6
0,155.79,40.2835,614.335,1.96955,3.06872e+08,3.68507e+08,1.91218e+09,2.00968e+08,7
0,204.11,93.0919,431.414,94.1559,4.42885e+08,9.31969e+08,8.42569e+08,1.1297e+09,0
0,29.6898,231.753,5984.92,20.7936,1.08987e+09,2.40189e+08,4.74732e+08,1.32775e+09,208
0,58.7823,238.236,9366.22,86.762,1.24797e+09,3.52893e+08,1.0549e+09,2.02094e+09,7
0,169.163,173.224,1852.77,27.5216,9.14999e+08,8.47845e+08,7.57266e+08,6.92031e+08,1156
1,127.411,51.6039,1344.81,87.2382,1.59312e+09,7.39825e+08,1.18707e+09,2.08432e+09,2899
1,142.714,38.126,5480.27,36.4139,9.0253e+08,1.69948e+09,1.90969e+09,1.29598e+09,4
1,201.636,52.8692,1183.6,21.6083,2.2193e+08,9.86376e+08,1.93312e+09,1.15886e+09,8
1,120.354,60.1174,6506.73,52.8679,1.02847e+09,1.10036e+09,1.04727e+09,1.81536e+09,115
1,54.5808,110.173,6805.91,37.767,8.44359e+08,1.33568e+09,9.46531e+08,8.63537e+08,16
1,44.236,234.994,7675.57,55.8746,1.16892e+09,2.96541e+08,7.64817e+08,1.67434e+09,8
1,134.799,55.8607,3925.77,70.6023,1.3108e+09,9.20092e+08,1.11717e+09,1.94984e+09,9
1,134.799,55.8607,3925.77,70.6023,1.3108e+09,1.01983e+09,1.11717e+09,1.94984e+09,9
1,141.284,160.913,6969.32,39.0931,1.44309e+09,6.28566e+08,2.37871e+08,6.64892e+08,73
1,197.081,125.494,7461.52,45.5585,1.71658e+09,8.22754e+08,1.19441e+08,3.33462e+08,32
1,67.8827,145.935,6245.82,36.8307,9.73863e+08,6.70274e+08,7.61003e+08,1.50655e+09,16
1,183.122,149.359,4931.62,36.5401,1.31579e+09,8.353e+08,4.38353e+08,5.12746e+08,7
1,246.21,50.408,4324.51,64.8911,9.41029e+08,1.50434e+09,2.04474e+09,1.58974e+09,85
1,87.4673,85.1451,6656.32,49.747,9.36414e+08,1.21802e+09,9.02064e+08,1.33945e+09,87
1,128.315,129.185,4254.54,38.6343,9.25707e+08,1.03293e+09,8.1486e+08,1.01574e+09,5
1,141.284,169.074,6969.32,39.0931,1.44309e+09,6.28566e+08,2.37871e+08,6.64892e+08,58
1,137.95,141.08,5154.71,42.8423,1.01545e+09,8.72262e+08,1.2969e+09,1.45875e+09,8
1,160.995,58.5638,3845.16,37.2381,6.25199e+08,9.65855e+08,1.4902e+09,1.48711e+09,6
1,123.882,55.8607,4012.17,71.1421,1.3108e+09,9.20092e+08,1.11717e+09,1.8849e+09,81
1,143.205,114.542,2932.47,49.4376,1.1129e+09,8.83969e+08,9.78408e+08,1.28846e+09,18
2,127.411,51.6039,1344.81,87.2382,1.59312e+09,7.39825e+08,1.18707e+09,2.08432e+09,2899
2,89.2316,83.0167,5049.22,54.4545,1.07758e+09,1.12789e+09,1.03185e+09,1.37422e+09,19
2,203.748,109.741,5646.92,51.9921,1.19206e+09,1.06645e+09,1.14131e+09,1.12732e+09,44
2,132.583,116.818,5490.75,55.1176,1.37694e+09,7.74329e+08,7.28806e+08,1.27489e+09,10
2,134.347,105.306,4157.07,63.1657,1.51811e+09,6.84196e+08,7.12469e+08,1.37461e+09,8
2,115.258,126.045,6348.11,46.7738,1.26033e+09,8.78226e+08,6.34861e+08,1.01955e+09,48
2,123.882,55.8607,3566.28,71.1421,1.3108e+09,9.20092e+08,1.11717e+09,1.8849e+09,81
2,214.666,99.8835,4628.06,50.7156,1.12841e+09,1.16982e+09,1.15807e+09,1.05124e+09,4
2,214.666,99.8835,4628.06,50.7156,1.23285e+09,1.16982e+09,1.24155e+09,1.05124e+09,4
2,130.916,98.4705,4360.5,56.9922,1.24072e+09,8.96177e+08,1.20703e+09,1.67182e+09,14
2,246.21,50.408,4324.51,64.8911,9.41029e+08,1.50565e+09,2.04474e+09,1.58974e+09,85
2,114.376,127.11,6812.82,47.1127,1.15684e+09,9.23293e+08,5.69967e+08,1.00217e+09,75
2,120.893,89.3567,4078.82,71.3954,1.37498e+09,8.31559e+08,8.78518e+08,1.48159e+09,6
2,115.336,106.742,4794.39,53.3211,1.02466e+09,1.05099e+09,9.40236e+08,1.31396e+09,16
2,136.1,133.772,5664.91,48.0426,1.34191e+09,8.09602e+08,7.22452e+08,1.16836e+09,14
2,167.721,66.7124,4686.87,59.6728,1.0093e+09,1.31677e+09,1.56484e+09,1.48198e+09,20
2,117.292,97.3131,4528.52,63.1298,1.34387e+09,9.07801e+08,9.22988e+08,1.5799e+09,90
2,122.655,91.4851,5412.5,59.1274,1.147e+09,9.21692e+08,8.43569e+08,1.44353e+09,24
2,173.476,104.093,4289.69,50.7149,1.15248e+09,9.7521e+08,1.05986e+09,1.20789e+09,198
2,191.155,92.0901,4994.71,56.4669,1.14147e+09,1.15763e+09,1.28737e+09,1.37905e+09,122
3,127.411,51.6039,1344.81,87.2382,1.59312e+09,7.39825e+08,1.18707e+09,2.08432e+09,2899
3,197.452,100.916,5121.46,54.2295,1.16676e+09,1.11204e+09,1.23348e+09,1.25318e+09,7
3,128.501,98.3954,4784.78,61.1465,1.33256e+09,7.9199e+08,7.78019e+08,1.40907e+09,17
3,182.316,98.0918,4642.2,55.4359,1.14697e+09,1.06642e+09,1.17361e+09,1.29347e+09,11
3,145.384,100.703,4105.61,56.9223,1.24817e+09,9.41505e+08,9.91423e+08,1.39389e+09,13
3,130.36,95.2788,4450,55.1217,1.13642e+09,9.9625e+08,9.65829e+08,1.35392e+09,50
3,194.071,101.988,4458.88,50.7152,1.14112e+09,1.07251e+09,1.10896e+09,1.12957e+09,3
3,154.224,94.7016,4761.61,60.5669,1.24267e+09,1.03271e+09,1.10518e+09,1.47947e+09,13
3,210.469,71.2491,4659.61,60.679,1.04125e+09,1.33164e+09,1.66605e+09,1.48439e+09,3
3,117.292,97.3131,4743.47,63.1298,1.34387e+09,9.07801e+08,9.22988e+08,1.5799e+09,90
3,191.155,92.0901,5118.36,56.4669,1.14147e+09,1.15763e+09,1.3836e+09,1.37905e+09,15
3,148.111,82.5539,4832.63,60.4096,1.25497e+09,1.05438e+09,1.17143e+09,1.44552e+09,10
3,120.534,97.8543,4656.65,62.1382,1.33821e+09,8.49896e+08,8.50504e+08,1.49448e+09,15
3,127.956,74.9997,3064.8,76.3885,1.46284e+09,7.65908e+08,1.07093e+09,1.7467e+09,73
3,145.384,100.703,4516.58,56.9223,1.24817e+09,8.81742e+08,9.91423e+08,1.39389e+09,13
3,160.758,93.6845,4722.35,55.7943,1.13894e+09,1.07694e+09,1.22783e+09,1.36649e+09,14
3,123.826,96.296,4489.26,59.1258,1.31677e+09,9.52025e+08,9.44409e+08,1.46691e+09,22
3,125.619,76.8489,2917.04,71.5008,1.45495e+09,8.45925e+08,1.06574e+09,1.77562e+09,19
3,126.787,75.9243,2829.8,73.9447,1.45889e+09,8.17307e+08,1.06833e+09,1.83943e+09,88
3,125.307,86.1101,3659.53,66.5352,1.40505e+09,8.84666e+08,9.40361e+08,1.65317e+09,83
4,127.411,51.6039,1344.81,87.2382,1.59312e+09,7.39825e+08,1.18707e+09,2.08432e+09,2899
4,159.352,86.5457,3853.5,65.9122,1.30491e+09,9.16163e+08,1.12227e+09,1.52008e+09,10
4,126.515,64.2264,2130.92,79.3695,1.52404e+09,7.92875e+08,1.12505e+09,1.92997e+09,800
4,127.684,63.3018,2204.81,81.8134,1.52798e+09,7.52866e+08,1.129e+09,1.88722e+09,1
4,127.684,63.3018,2017.25,81.8134,1.52798e+09,8.24432e+08,1.1682e+09,1.91551e+09,1
4,125.619,73.95,2917.04,73.182,1.50123e+09,8.45925e+08,1.06574e+09,1.77562e+09,4
4,144.357,84.3421,4187.3,66.0914,1.30089e+09,9.21423e+08,1.14938e+09,1.55659e+09,4
4,125.146,81.0404,3393.79,70.7538,1.43112e+09,8.21385e+08,9.87776e+08,1.6428e+09,7
4,126.203,76.3866,2644.69,72.7227,1.45692e+09,8.31616e+08,1.06201e+09,1.80753e+09,173
4,136.086,88.3138,3673.19,65.4335,1.35353e+09,8.59565e+08,1.02988e+09,1.61666e+09,41
4,147.55,87.4298,3763.34,65.6729,1.32922e+09,8.87864e+08,1.07607e+09,1.56837e+09,11
4,130.852,82.5814,3075.88,68.4672,1.40424e+09,8.52745e+08,1.04781e+09,1.69614e+09,66
4,126.787,75.9243,3406,73.9447,1.45889e+09,8.05917e+08,1.06833e+09,1.76116e+09,89
4,153.071,97.1939,4270.38,56.3583,1.19356e+09,9.7934e+08,1.10962e+09,1.38019e+09,25
4,127.099,63.7641,2087.31,80.5914,1.52601e+09,7.78566e+08,1.07497e+09,1.96188e+09,880
4,126.495,76.1555,2737.24,69.575,1.45791e+09,8.24461e+08,1.06517e+09,1.82348e+09,8
4,126.651,70.0754,2366,76.6571,1.49146e+09,8.05091e+08,1.06849e+09,1.77899e+09,1030
4,125.307,86.1101,3659.53,66.5352,1.40505e+09,8.13343e+08,9.40361e+08,1.6661e+09,83
4,127.099,63.7641,2087.31,80.5914,1.5759e+09,7.78566e+08,1.1277e+09,1.96188e+09,880
4,126.427,73.231,2449.64,74.6899,1.47419e+09,8.18354e+08,1.06525e+09,1.79326e+09,784
5,127.411,51.6039,1344.81,87.2382,1.59312e+09,7.39825e+08,1.18707e+09,2.08432e+09,2899
5,127.099,63.7641,2398.51,80.5914,1.52601e+09,7.72871e+08,1.1277e+09,1.8927e+09,377
5,139.189,91.652,3694.37,61.4468,1.2993e+09,8.96341e+08,1.02499e+09,1.52314e+09,24
5,125.979,66.4916,3012.76,71.5962,1.44825e+09,8.09217e+08,8.99281e+08,1.72254e+09,10
5,131.593,79.2291,3035.85,73.0125,1.43977e+09,8.16218e+08,1.07879e+09,1.75468e+09,103
5,138.245,63.7641,2398.51,80.5914,1.52601e+09,8.42587e+08,1.1277e+09,1.8927e+09,72
5,139.637,86.7903,3457.53,64.5405,1.32524e+09,9.05478e+08,1.13505e+09,1.52535e+09,15
5,124.995,65.4165,2190.33,80.1253,1.51645e+09,7.78022e+08,1.13293e+09,1.9195e+09,3
5,126.539,71.6532,2407.82,75.6735,1.48283e+09,8.92417e+08,1.06687e+09,1.78612e+09,989
